date,setting_type,county,facility,cases_employee,deaths_employee,cases_students,deaths_students,status
2021-02-05,K-12 School,Alamance,Highland Elementary,5,0,0,0,resolved
2020-12-22,Child Care,Alamance,Little Thinkers,3,0,3,0,ongoing
2021-01-26,Child Care,Alamance,Little Thinkers,3,0,3,0,ongoing
2021-02-05,Child Care,Alamance,Little Thinkers,3,0,3,0,resolved
2020-11-13,Child Care,Alamance,Love's Childcare,2,0,3,0,ongoing
2020-11-17,Child Care,Alamance,Love's Childcare,2,0,3,0,ongoing
2020-11-24,Child Care,Alamance,Love's Childcare,2,0,3,0,ongoing
2021-01-12,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,ongoing
2021-01-15,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,ongoing
2021-01-19,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,ongoing
2021-01-22,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,ongoing
2021-01-26,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,ongoing
2021-01-29,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,ongoing
2021-02-02,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,ongoing
2021-02-05,K-12 School,Alamance,Positive Attitude Youth Center,2,0,6,0,resolved
2020-12-01,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2020-12-04,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2020-12-08,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2020-12-11,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2020-12-15,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2020-12-18,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2020-12-22,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-05,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-08,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-12,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-15,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-19,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-22,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-26,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-01-29,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-02-02,K-12 School,Alamance,South Graham Elementary,9,0,0,0,ongoing
2021-02-05,K-12 School,Alamance,South Graham Elementary,9,0,0,0,resolved
2021-01-12,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2021-01-15,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2021-01-19,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2021-01-22,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2021-01-26,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2021-01-29,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2021-02-02,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2021-02-05,K-12 School,Alamance,Southern Alamance High School,3,0,3,0,ongoing
2020-08-21,Child Care,Alamance,The Growing Years Learning Center,4,0,3,0,ongoing
2020-08-25,Child Care,Alamance,The Growing Years Learning Center,4,0,3,0,ongoing
2020-08-28,Child Care,Alamance,The Growing Years Learning Center,4,0,3,0,ongoing
2020-09-22,Child Care,Alamance,The Growing Years Learning Center,4,0,3,0,resolved
2021-01-26,Child Care,Alamance,The Kitty Hupman Weekday School,3,0,5,0,ongoing
2021-02-05,Child Care,Alamance,The Kitty Hupman Weekday School,3,0,5,0,resolved
2020-10-23,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-10-27,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-10-30,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-11-03,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-11-06,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-11-10,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-11-13,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-11-17,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-11-20,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-11-24,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2020-12-01,K-12 School,Alexander,Millersville Christian Academy,1,0,5,0,ongoing
2021-01-22,K-12 School,Alleghany,Alleghany High School,1,0,4,0,ongoing
2021-01-26,K-12 School,Alleghany,Alleghany High School,1,0,4,0,ongoing
2021-01-29,K-12 School,Alleghany,Alleghany High School,1,0,4,0,ongoing
2021-02-02,K-12 School,Alleghany,Alleghany High School,1,0,4,0,ongoing
2021-02-05,K-12 School,Alleghany,Alleghany High School,1,0,4,0,ongoing
2020-09-22,Child Care,Ashe,Mt Jefferson Child Development,2,0,8,0,ongoing
2020-09-25,Child Care,Ashe,Mt Jefferson Child Development,2,0,8,0,ongoing
2020-09-29,Child Care,Ashe,Mt Jefferson Child Development,2,0,8,0,ongoing
2020-10-02,Child Care,Ashe,Mt Jefferson Child Development,2,0,8,0,ongoing
2020-10-13,Child Care,Ashe,Mt Jefferson Child Development,2,0,8,0,ongoing
2020-09-22,Child Care,Beaufort,Care-O-World Daycare,6,0,3,0,ongoing
2020-09-25,Child Care,Beaufort,Care-O-World Daycare,6,0,3,0,ongoing
2020-09-29,Child Care,Beaufort,Care-O-World Daycare,6,0,3,0,ongoing
2020-10-02,Child Care,Beaufort,Care-O-World Daycare,5,0,3,0,resolved
2020-12-04,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,11,0,ongoing
2020-12-08,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,11,0,ongoing
2020-12-11,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,11,0,ongoing
2020-12-15,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2020-12-18,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2020-12-22,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-05,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-08,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-12,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-15,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-19,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-22,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-26,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-01-29,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-02-02,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2021-02-05,K-12 School,Bertie,Bethel Assembly Christian Academy,2,0,12,0,ongoing
2020-08-21,Child Care,Bladen,East Coast Migrant Head Start,5,0,0,0,ongoing
2020-08-25,Child Care,Bladen,East Coast Migrant Head Start,5,0,0,0,ongoing
2020-08-28,Child Care,Bladen,East Coast Migrant Head Start,5,0,0,0,ongoing
2020-09-22,School,Bladen,Emereau Charter School,1,0,5,0,ongoing
2020-09-25,School,Bladen,Emereau Charter School,1,0,5,0,ongoing
2020-09-29,School,Bladen,Emereau Charter School,1,0,5,0,ongoing
2020-10-02,School,Bladen,Emereau Charter School,1,0,4,0,resolved
2020-10-20,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-10-23,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-10-27,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-10-30,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-11-03,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-11-06,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-11-10,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-11-13,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-11-17,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-11-20,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-11-24,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-12-01,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-12-04,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-12-08,K-12 School,Bladen,Emereau Charter School,3,0,2,0,ongoing
2020-12-11,K-12 School,Bladen,Emereau Charter School,14,0,8,0,ongoing
2020-12-15,K-12 School,Bladen,Emereau Charter School,14,0,8,0,ongoing
2020-12-18,K-12 School,Bladen,Emereau Charter School,14,0,8,0,ongoing
2020-12-22,K-12 School,Bladen,Emereau Charter School,14,0,8,0,ongoing
2021-01-26,Child Care,Brunswick,Childcare Network Southport,4,0,3,0,ongoing
2021-02-05,Child Care,Brunswick,Childcare Network Southport,4,0,3,0,ongoing
2021-01-29,K-12 School,Brunswick,Jessie Mae Moore Elementary,0,0,5,0,ongoing
2021-02-02,K-12 School,Brunswick,Jessie Mae Moore Elementary,0,0,6,0,ongoing
2021-02-05,K-12 School,Brunswick,Jessie Mae Moore Elementary,1,0,8,0,ongoing
2021-02-05,Child Care,Brunswick,Kids World Academy Southport,3,0,2,0,ongoing
2020-12-18,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2020-12-22,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-01-05,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-01-08,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-01-12,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-01-15,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-01-19,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-01-22,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-01-26,K-12 School,Brunswick,Leland Middle School,4,0,2,0,ongoing
2021-02-02,K-12 School,Brunswick,South Brunswick Charter School,3,0,8,0,ongoing
2021-02-05,K-12 School,Brunswick,South Brunswick Charter School,4,0,11,0,ongoing
2020-12-18,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2020-12-22,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-01-05,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-01-08,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-01-12,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-01-15,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-01-19,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-01-22,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-01-26,K-12 School,Brunswick,Southeastern Christian Academy,2,0,3,0,ongoing
2021-02-05,Child Care,Brunswick,Tiny Tots Child Care,1,0,8,0,ongoing
2020-12-18,K-12 School,Brunswick,Town Creek Elementary School,9,0,10,0,ongoing
2020-12-22,K-12 School,Brunswick,Town Creek Elementary School,16,0,21,0,ongoing
2021-01-05,K-12 School,Brunswick,Town Creek Elementary School,16,0,21,0,ongoing
2021-01-08,K-12 School,Brunswick,Town Creek Elementary School,16,0,21,0,ongoing
2021-01-12,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-01-15,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-01-19,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-01-22,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-01-26,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-01-29,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-02-02,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-02-05,K-12 School,Brunswick,Town Creek Elementary School,17,0,21,0,ongoing
2021-02-02,K-12 School,Brunswick,Union Elementary School,2,0,4,0,ongoing
2021-02-05,K-12 School,Brunswick,Union Elementary School,2,0,8,0,ongoing
2020-12-04,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2020-12-08,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2020-12-11,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2020-12-15,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2020-12-18,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2020-12-22,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2021-01-05,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2021-01-08,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2021-01-12,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2021-01-15,K-12 School,Buncombe,Haw Creek Elementary School,3,0,2,0,ongoing
2020-10-13,School,Buncombe,Oakley Elementary,5,0,0,0,ongoing
2020-10-20,K-12 School,Buncombe,Oakley Elementary,5,0,0,0,ongoing
2020-10-23,K-12 School,Buncombe,Oakley Elementary,5,0,0,0,ongoing
2020-10-27,K-12 School,Buncombe,Oakley Elementary,5,0,0,0,ongoing
2020-10-30,K-12 School,Buncombe,Oakley Elementary,5,0,0,0,ongoing
2020-12-01,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2020-12-04,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2020-12-08,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2020-12-11,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2020-12-15,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2020-12-18,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2020-12-22,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-05,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-08,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-12,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-15,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-19,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-22,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-26,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2021-01-29,K-12 School,Burke,Christ Classical Academy,1,0,7,0,ongoing
2020-08-28,Child Care,Burke,First Baptist Church Icard Enrichment Center,10,0,2,0,ongoing
2020-09-22,Child Care,Burke,First Baptist Church Icard Enrichment Center,10,0,2,0,ongoing
2020-09-25,Child Care,Burke,First Baptist Church Icard Enrichment Center,18,0,3,0,ongoing
2020-09-29,Child Care,Burke,First Baptist Church Icard Enrichment Center,18,0,3,0,ongoing
2020-10-02,Child Care,Burke,First Baptist Church Icard Enrichment Center,18,0,3,0,resolved
2020-12-11,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2020-12-15,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2020-12-18,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2020-12-22,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-05,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-08,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-12,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-15,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-19,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-22,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-26,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-01-29,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-02-02,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2021-02-05,K-12 School,Burke,Hildebran Elementary School,5,0,0,0,ongoing
2020-10-23,K-12 School,Burke,Icard Elementary School,5,0,3,0,ongoing
2020-10-27,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-10-30,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-11-03,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-11-06,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-11-10,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-11-13,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-11-17,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-11-20,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-11-24,K-12 School,Burke,Icard Elementary School,9,0,3,0,ongoing
2020-12-15,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2020-12-18,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2020-12-22,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-05,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-08,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-12,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-15,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-19,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-22,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-26,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-01-29,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-02-02,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2021-02-05,K-12 School,Burke,Icard Elementary School,5,0,0,0,ongoing
2020-12-22,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-05,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-08,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-12,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-15,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-19,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-22,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-26,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-01-29,K-12 School,Burke,Valdese Elementary School,3,0,3,0,ongoing
2021-02-05,Child Care,Cabarrus,ABC Preschool,6,0,0,0,ongoing
2020-11-03,K-12 School,Cabarrus,Faith Christian Academy,6,0,0,0,ongoing
2020-11-06,K-12 School,Cabarrus,Faith Christian Academy,6,0,0,0,ongoing
2020-11-10,K-12 School,Cabarrus,Faith Christian Academy,6,0,0,0,ongoing
2020-11-13,K-12 School,Cabarrus,Faith Christian Academy,6,0,0,0,ongoing
2020-11-17,K-12 School,Cabarrus,Faith Christian Academy,6,0,0,0,ongoing
2020-11-20,K-12 School,Cabarrus,Faith Christian Academy,6,0,0,0,ongoing
2020-11-24,K-12 School,Cabarrus,Faith Christian Academy,6,0,0,0,ongoing
2020-10-13,School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-10-20,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-10-23,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-10-27,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-10-30,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-11-03,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-11-06,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-11-10,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-11-13,K-12 School,Caldwell,Moravian Prep,1,0,5,0,ongoing
2020-11-17,K-12 School,Caldwell,Moravian Prep,1,0,5,0,resolved
2020-12-01,K-12 School,Catawba,Maiden High School,2,0,4,0,ongoing
2020-12-04,K-12 School,Catawba,Maiden High School,2,0,4,0,ongoing
2020-12-08,K-12 School,Catawba,Maiden High School,2,0,4,0,ongoing
2020-12-11,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2020-12-15,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2020-12-18,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2020-12-22,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2021-01-05,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2021-01-08,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2021-01-12,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2021-01-15,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2021-01-19,K-12 School,Catawba,Maiden High School,1,0,5,0,ongoing
2020-09-29,Child Care,Catawba,Miss Millies Child Care Center,8,0,1,0,ongoing
2020-10-02,Child Care,Catawba,Miss Millies Child Care Center,8,0,1,0,ongoing
2020-10-13,Child Care,Catawba,Miss Millies Child Care Center,8,0,1,0,ongoing
2020-12-01,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2020-12-04,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2020-12-08,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2020-12-11,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2020-12-15,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2020-12-18,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2020-12-22,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2021-01-05,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2021-01-08,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2021-01-12,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2021-01-15,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2021-01-19,K-12 School,Catawba,Shuford Elementary,3,0,3,0,ongoing
2021-02-05,K-12 School,Catawba,St Stephens Elementary School,3,0,3,0,ongoing
2020-12-01,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2020-12-04,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2020-12-08,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2020-12-11,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2020-12-15,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2020-12-18,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2020-12-22,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2021-01-05,K-12 School,Cleveland,Burns High School,1,0,7,0,ongoing
2020-11-24,K-12 School,Cleveland,Burns High school volleyball team,1,0,6,0,ongoing
2020-11-13,Child Care,Columbus,Enchanting Tree Learning Center,5,0,0,0,ongoing
2020-11-17,Child Care,Columbus,Enchanting Tree Learning Center,5,0,0,0,ongoing
2020-11-24,Child Care,Columbus,Enchanting Tree Learning Center,5,0,0,0,ongoing
2020-12-11,Child Care,Columbus,Enchanting Tree Learning Center,5,0,0,0,ongoing
2021-01-29,K-12 School,Columbus,Whiteville High School,1,0,4,0,ongoing
2021-02-02,K-12 School,Columbus,Whiteville High School,1,0,4,0,ongoing
2021-02-05,K-12 School,Columbus,Whiteville High School,1,0,4,0,ongoing
2020-10-20,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-10-23,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-10-27,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-10-30,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-11-03,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-11-06,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-11-10,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-11-13,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-11-17,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-11-20,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-11-24,K-12 School,Craven,New Bern Christian Academy,6,0,4,0,ongoing
2020-09-25,School,Craven,New Bern High School,0,0,5,0,ongoing
