school,county,school_new,county_new
JACKSON ALTERNATIVE SCHOOL,JACKSON,JACKSON ALTERNATIVE SCHOOL,JACKSON
JACKSON COUNTY EARLY CHILDHOOD CENTER,JACKSON,JACKSON COUNTY EARLY CHILDHOOD CENTER,JACKSON
JACKSON DISTRICT OFFICE,JACKSON,JACKSON DISTRICT OFFICE,JACKSON
JACKSON ELEMENTARY SCHOOL,HILLSBOROUGH,JACKSON ELEMENTARY SCHOOL,HILLSBOROUGH
JACKSON HEIGHTS MIDDLE SCHOOL,SEMINOLE,JACKSON HEIGHTS MIDDLE SCHOOL,SEMINOLE
JACKSONVILLE BEACH ELEMENTARY SCHOOL,DUVAL,JACKSONVILLE BEACH ELEMENTARY SCHOOL,DUVAL
JACKSONVILLE CHRISTIAN ACADEMY,DUVAL,JACKSONVILLE CHRISTIAN ACADEMY,DUVAL
JACKSONVILLE CLASSICAL ACADEMY,DUVAL,JACKSONVILLE CLASSICAL ACADEMY,DUVAL
JACKSONVILLE COUNTRY DAY SCHOOL,DUVAL,JACKSONVILLE COUNTRY DAY SCHOOL,DUVAL
JACKSONVILLE HEIGHTS ELEMENTARY SCHOOL,DUVAL,JACKSONVILLE HEIGHTS ELEMENTARY SCHOOL,DUVAL
JACKSONVILLE SCHOOL FOR AUTISM,DUVAL,JACKSONVILLE SCHOOL FOR AUTISM,DUVAL
JACKSONVILLE UNIVERSITY,DUVAL,JACKSONVILLE UNIVERSITY,DUVAL
JACKSONVILLE UNIVERSITY,UNKNOWN,JACKSONVILLE UNIVERSITY,DUVAL
JACQUELINE HARRIS PREPARATORY ACADEMY,ESCAMBIA,JACQUELINE HARRIS PREPARATORY ACADEMY,ESCAMBIA
JAMES A. LONG ELEMENTARY SCHOOL,PUTNAM,JAMES A. LONG ELEMENTARY SCHOOL,PUTNAM
JAMES A. SHANKS MIDDLE SCHOOL,GADSDEN,JAMES A. SHANKS MIDDLE SCHOOL,GADSDEN
JAMES B. SANDERLIN K-8,PINELLAS,JAMES B. SANDERLIN K-8,PINELLAS
JAMES E PLEW ELEMENTARY SCHOOL,OKALOOSA,JAMES E PLEW ELEMENTARY SCHOOL,OKALOOSA
JAMES E. STEPHENS ELEMENTARY SCHOOL,POLK,JAMES E. STEPHENS ELEMENTARY SCHOOL,POLK
JAMES ELEMENTARY SCHOOL,HILLSBOROUGH,JAMES ELEMENTARY SCHOOL,HILLSBOROUGH
JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTAR,MIAMI-DADE,JAMES H. BRIGHT ELEMENTARY SCHOOL/J.W. JOHNSON ELEMENTARY SCHOOL,MIAMI-DADE
JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTARY,MIAMI-DADE,JAMES H. BRIGHT ELEMENTARY SCHOOL/J.W. JOHNSON ELEMENTARY SCHOOL,MIAMI-DADE
JAMES IRVIN ADULT EDUCATION,PASCO,JAMES IRVIN ADULT EDUCATION,PASCO
JAMES IRVIN EDUCATION CENTER,PASCO,JAMES IRVIN EDUCATION CENTER,PASCO
JAMES M. ANDERSON ELEMENTARY SCHOOL,DIXIE,JAMES M. ANDERSON ELEMENTARY SCHOOL,DIXIE
JAMES M. MARLOWE ELEMENTARY SCHOOL,PASCO,JAMES M. MARLOWE ELEMENTARY SCHOOL,PASCO
JAMES MADISON MIDDLE SCHOOL,BREVARD,JAMES MADISON MIDDLE SCHOOL,BREVARD
JAMES MADISON PREP HIGH SCHOOL,MADISON,JAMES MADISON PREPARATORY HIGH SCHOOL,MADISON
JAMES MADISON PREPARATORY HIGH SCHOOL,MADISON,JAMES MADISON PREPARATORY HIGH SCHOOL,MADISON
JAMES RICKARDS HIGH SCHOOL,LEON,JAMES RICKARDS HIGH SCHOOL,LEON
JAMES S. HUNT ELEMENTARY SCHOOL,BROWARD,JAMES S. HUNT ELEMENTARY SCHOOL,BROWARD
JAMES S. RICKARDS MIDDLE SCHOOL,BROWARD,JAMES S. RICKARDS MIDDLE SCHOOL,BROWARD
JAMES STEPHENS INTERNATIONAL ACADEMY,LEE,JAMES STEPHENS INTERNATIONAL ACADEMY,LEE
JAMES TILLMAN ELEMENTARY MAGNET SCHOOL,MANATEE,JAMES TILLMAN ELEMENTARY SCHOOL MAGNET SCHOOL,MANATEE
JAMES W. MITCHELL HIGH ADULT EDUCATION,PASCO,JAMES W. MITCHELL HIGH ADULT EDUCATION,PASCO
JAMES W. MITCHELL HIGH SCHOOL,PASCO,JAMES W. MITCHELL HIGH SCHOOL,PASCO
JAMES W. SIKES ELEMENTARY SCHOOL,POLK,JAMES W. SIKES ELEMENTARY SCHOOL,POLK
JAMES WELDON JOHNSON COLLEGE PREPARTORY MIDDLE S,DUVAL,JAMES WELDON JOHNSON COLLEGE PREPARTORY MIDDLE SCHOOL,DUVAL
JAMES WELDON JOHNSON COLLEGE PREPARTORY MIDDLE SC,DUVAL,JAMES WELDON JOHNSON COLLEGE PREPARTORY MIDDLE SCHOOL,DUVAL
JAMES WELDON JOHNSON COLLEGE PREPARTORY MIDDLE SCHOOL,DUVAL,JAMES WELDON JOHNSON COLLEGE PREPARTORY MIDDLE SCHOOL,DUVAL
JANE S ROBERTS K-8 CENTER,UNKNOWN,JANE S. ROBERTS K-8 CENTER,MIAMI-DADE
JANE S. ROBERTS K-8 CENTER,MIAMI-DADE,JANE S. ROBERTS K-8 CENTER,MIAMI-DADE
JANIE HOWARD WILSON SCHOOL,POLK,JANIE HOWARD WILSON SCHOOL,POLK
JANITORIAL,UNKNOWN,,
JANN MANN EDUCATIONAL CENTER,MIAMI-DADE,JANN MANN EDUCATIONAL CENTER,MIAMI-DADE
JAY ELEMENTARY SCHOOL,SANTA ROSA,JAY ELEMENTARY SCHOOL,SANTA ROSA
JAY HIGH SCHOOL,SANTA ROSA,JAY HIGH SCHOOL,SANTA ROSA
JCC PRE-SCHOOL,UNKNOWN,,
JEAGA MIDDLE SCHOOL,PALM BEACH,JEAGA MIDDLE SCHOOL,PALM BEACH
JEAN O'DELL LEARNING CENTER,POLK,JEAN O'DELL LEARNING CENTER,POLK
JEAN PIAGET ACADEMY,MIAMI-DADE,,
JEAN RIBAULT HIGH SCHOOL,DUVAL,JEAN RIBAULT HIGH SCHOOL,DUVAL
JEAN RIBAULT MIDDLE SCHOOL,DUVAL,JEAN RIBAULT MIDDLE SCHOOL,DUVAL
JEFFERSON ADULT/COMMUNITY CENTER,HILLSBOROUGH,JEFFERSON ADULT/COMMUNITY CENTER,HILLSBOROUGH
JEFFERSON COUNTY ELEMENTARY A SOMERSET CHARTER S,JEFFERSON,JEFFERSON COUNTY ELEMENTARY SCHOOL A SOMERSET CHARTER SCHOOL,JEFFERSON
JEFFERSON COUNTY ELEMENTARY A SOMERSET CHARTER SC,JEFFERSON,JEFFERSON COUNTY ELEMENTARY SCHOOL A SOMERSET CHARTER SCHOOL,JEFFERSON
JEFFERSON COUNTY ELEMENTARY A SOMERSET CHARTER SCHOOL,JEFFERSON,JEFFERSON COUNTY ELEMENTARY SCHOOL A SOMERSET CHARTER SCHOOL,JEFFERSON
JEFFERSON COUNTY HIGH A SOMERSET CHARTER SCHOOL,JEFFERSON,JEFFERSON COUNTY HIGH A SOMERSET CHARTER SCHOOL,JEFFERSON
JEFFERSON COUNTY MIDDLE A SOMERSET CHARTER SCHOO,JEFFERSON,JEFFERSON COUNTY MIDDLE A SOMERSET CHARTER SCHOOL,JEFFERSON
JEFFERSON COUNTY MIDDLE A SOMERSET CHARTER SCHOOL,JEFFERSON,JEFFERSON COUNTY MIDDLE A SOMERSET CHARTER SCHOOL,JEFFERSON
JEFFERSON DAVIS MIDDLE SCHOOL,DUVAL,JEFFERSON DAVIS MIDDLE SCHOOL,DUVAL
JEFFERSON HIGH SCHOOL,HILLSBOROUGH,JEFFERSON HIGH SCHOOL,HILLSBOROUGH
JEFFERSON MIDDLE SCHOOL,BREVARD,JEFFERSON MIDDLE SCHOOL,BREVARD
JENNINGS MIDDLE SCHOOL,HILLSBOROUGH,JENNINGS MIDDLE SCHOOL,HILLSBOROUGH
JENNINGS MIDDLE SCHOOL,UNKNOWN,JENNINGS MIDDLE SCHOOL,HILLSBOROUGH
JENSEN BEACH ELEMENTARY SCHOOL,MARTIN,JENSEN BEACH ELEMENTARY SCHOOL,MARTIN
JENSEN BEACH HIGH SCHOOL,MARTIN,JENSEN BEACH HIGH SCHOOL,MARTIN
JERE L. STAMBAUGH MIDDLE,POLK,JERE L. STAMBAUGH MIDDLE,POLK
JERRY THOMAS ELEMENTARY SCHOOL,PALM BEACH,JERRY THOMAS ELEMENTARY SCHOOL,PALM BEACH
JERSEY COLLEGE NURSING SCHOOL - FORT LAUDERDALE,BROWARD,JERSEY COLLEGE NURSING SCHOOL - FORT LAUDERDALE,BROWARD
JERSEY COLLEGE NURSING SCHOOL - JACKSONVILLE,DUVAL,JERSEY COLLEGE NURSING SCHOOL - JACKSONVILLE,DUVAL
JERSEY COLLEGE NURSING SCHOOL - TAMPA,HILLSBOROUGH,JERSEY COLLEGE NURSING SCHOOL - TAMPA,HILLSBOROUGH
JERSEY COLLEGE NURSING SCHOOL FT. LAUDERDALE,BROWARD,JERSEY COLLEGE NURSING SCHOOL - FORT LAUDERDALE,BROWARD
JERSEY COLLEGE NURSING SCHOOL FT. LAUDERDALE CAMPUS,BROWARD,JERSEY COLLEGE NURSING SCHOOL - FORT LAUDERDALE,BROWARD
JERSEY COLLEGE NURSING SCHOOL-FORT LAUDERDALE,BROWARD,JERSEY COLLEGE NURSING SCHOOL - FORT LAUDERDALE,BROWARD
JERSEY COLLEGE NURSING SCHOOL-JACKSONVILLE,DUVAL,JERSEY COLLEGE NURSING SCHOOL - JACKSONVILLE,DUVAL
JERSEY COLLEGE NURSING SCHOOL-TAMPA,HILLSBOROUGH,JERSEY COLLEGE NURSING SCHOOL - TAMPA,HILLSBOROUGH
"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",MIAMI-DADE,"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",MIAMI-DADE
JESSE KEEN ELEMENTARY SCHOOL,POLK,JESSE KEEN ELEMENTARY SCHOOL,POLK
JESSIE P. MILLER ELEMENTARY SCHOOL,MANATEE,JESSIE P. MILLER ELEMENTARY SCHOOL,MANATEE
JESUIT HIGH SCHOOL,HILLSBOROUGH,JESUIT HIGH SCHOOL,HILLSBOROUGH
JEWETT MIDDLE ACADEMY MAGNET,POLK,JEWETT MIDDLE ACADEMY MAGNET,POLK
JEWETT SCHOOL OF THE ARTS,POLK,JEWETT SCHOOL OF THE ARTS,POLK
JEWISH ACADEMY OF ORLANDO,ORANGE,JEWISH ACADEMY OF ORLANDO,ORANGE
JEWISH COOPERATIVE SCHOOL,BROWARD,JEWISH COOPERATIVE SCHOOL,BROWARD
JEWISH SCHOOL OF MIAMI,BROWARD,JEWISH SCHOOL OF MIAMI,BROWARD
JIM ALLEN ELEMENTARY SCHOOL,ESCAMBIA,JIM ALLEN ELEMENTARY SCHOOL,ESCAMBIA
JIM C. BAILEY MIDDLE SCHOOL,ESCAMBIA,JIM C. BAILEY MIDDLE SCHOOL,ESCAMBIA
JINKS MIDDLE SCHOOL,BAY,JINKS MIDDLE SCHOOL,BAY
JJCC BILINGUAL CHRISTIAN ACADEMY,OSCEOLA,JJCC BILINGUAL CHRISTIAN ACADEMY,OSCEOLA
JOE HALL ELEMENTARY SCHOOL,MIAMI-DADE,JOE HALL ELEMENTARY SCHOOL,MIAMI-DADE
JOELLA GOOD ELEMENTARY SCHOOL,MIAMI-DADE,JOELLA GOOD ELEMENTARY SCHOOL,MIAMI-DADE
JOHN A. FERGUSON SENIOR HIGH,MIAMI-DADE,JOHN A. FERGUSON SENIOR HIGH,MIAMI-DADE
JOHN A. FERGUSON SENIOR HIGH (MIAMI),MIAMI-DADE,JOHN A. FERGUSON SENIOR HIGH,MIAMI-DADE
JOHN CARROLL HIGH SCHOOL,ST. LUCIE,JOHN CARROLL HIGH SCHOOL,ST. LUCIE
JOHN D. FLOYD ELEMENTARY SCHOOL,HERNANDO,JOHN D. FLOYD ELEMENTARY SCHOOL,HERNANDO
JOHN E. FORD K-8 SCHOOL,DUVAL,JOHN E. FORD K-8 SCHOOL,DUVAL
JOHN F. KENNEDY MIDDLE SCHOOL,BREVARD,JOHN F. KENNEDY MIDDLE SCHOOL,BREVARD
JOHN F. KENNEDY MIDDLE SCHOOL,MIAMI-DADE,JOHN F. KENNEDY MIDDLE SCHOOL,MIAMI-DADE
JOHN F. KENNEDY MIDDLE SCHOOL,PALM BEACH,JOHN F. KENNEDY MIDDLE SCHOOL,PALM BEACH
JOHN F. TURNER SENIOR ELEMENTARY SCHOOL,BREVARD,JOHN F. TURNER SENIOR ELEMENTARY SCHOOL,BREVARD
"JOHN F. TURNER, SENIOR ELEMENTARY SCHOOL",BREVARD,JOHN F. TURNER SENIOR ELEMENTARY SCHOOL,BREVARD
JOHN G RILEY ELEMENTARY SCHOOL,LEON,JOHN G RILEY ELEMENTARY SCHOOL,LEON
JOHN G. DUPUIS ELEMENTARY SCHOOL,MIAMI-DADE,JOHN G. DUPUIS ELEMENTARY SCHOOL,MIAMI-DADE
JOHN HOPKINS MIDDLE SCHOOL,PINELLAS,JOHN HOPKINS MIDDLE SCHOOL,PINELLAS
JOHN I LEONARD ADULT EDUCATION CENTER,PALM BEACH,JOHN I LEONARD ADULT EDUCATION CENTER,PALM BEACH
JOHN I LEONARD HIGH SCHOOL,PALM BEACH,JOHN I LEONARD HIGH SCHOOL,PALM BEACH
JOHN I. LEONARD HIGH SCHOOL,PALM BEACH,JOHN I LEONARD HIGH SCHOOL,PALM BEACH
JOHN I. SMITH K-8 CENTER,MIAMI-DADE,JOHN I. SMITH K-8 CENTER,MIAMI-DADE
JOHN IVES SMITH ELEMENTARY SCHOOL,UNKNOWN,JOHN I. SMITH K-8 CENTER,MIAMI-DADE
JOHN LONG MIDDLE SCHOOL,PASCO,JOHN LONG MIDDLE SCHOOL,PASCO
JOHN M. SEXTON ELEMENTARY SCHOOL,PINELLAS,JOHN M. SEXTON ELEMENTARY SCHOOL,PINELLAS
JOHN PAUL II CATHOLIC HIGH SCHOOL,LEON,JOHN PAUL II CATHOLIC HIGH SCHOOL,LEON
JOHN SNIVELY ELEMENTARY,POLK,JOHN SNIVELY ELEMENTARY SCHOOL,POLK
JOHN STOCKTON ELEMENTARY SCHOOL,DUVAL,JOHN STOCKTON ELEMENTARY SCHOOL,DUVAL
JOHN YOUNG ELEMENTARY,ORANGE,JOHN YOUNG ELEMENTARY SCHOOL,ORANGE
JOHNSON & WALES UNIVERSITY,UNKNOWN,JOHNSON AND WALES UNIVERSITY,MIAMI-DADE
JOHNSON & WALES UNIVERSITY-NORTH MIAMI,MIAMI-DADE,JOHNSON AND WALES UNIVERSITY,MIAMI-DADE
JOHNSON AND WALES UNIVERSITY,MIAMI-DADE,JOHNSON AND WALES UNIVERSITY,MIAMI-DADE
JOHNSON UNIVERSITY,OSCEOLA,JOHNSON UNIVERSITY,OSCEOLA
JONES HIGH,ORANGE,JONES HIGH,ORANGE
JORDAN CHRISTIAN PREPARATORY,POLK,JORDAN CHRISTIAN PREPARATORY,POLK
JORGE MAS CANO MIDDLE SCHOOL,UNKNOWN,JORGE MAS CANOSA MIDDLE SCHOOL,MIAMI-DADE
JORGE MAS CANOSA MIDDLE SCHOOL,MIAMI-DADE,JORGE MAS CANOSA MIDDLE SCHOOL,MIAMI-DADE
JOSE DE DIEGO MIDDLE SCHOOL,MIAMI-DADE,JOSE DE DIEGO MIDDLE SCHOOL,MIAMI-DADE
JOSE DE DIEGO MIDDLE SCHOOL (MIAMI),MIAMI-DADE,JOSE DE DIEGO MIDDLE SCHOOL,MIAMI-DADE
JOSE MARTI MAST 6-12 ACADEMY,MIAMI-DADE,JOSE MARTI MAST 6-12 ACADEMY,MIAMI-DADE
JOSE MARTI SCHOOL 1ST CAMPUS,MIAMI-DADE,JOSE MARTI SCHOOL 1ST CAMPUS,MIAMI-DADE
JOSEPH FINEGAN ELEMENTARY SCHOOL,DUVAL,JOSEPH FINEGAN ELEMENTARY SCHOOL,DUVAL
JOSEPH L. CARWISE MIDDLE SCHOOL,PINELLAS,JOSEPH L. CARWISE MIDDLE SCHOOL,PINELLAS
JOSEPH STILWELL MIDDLE SCHOOL,DUVAL,JOSEPH STILWELL MIDDLE SCHOOL,DUVAL
JOSEPH WILLIAMS ELEMENTARY SCHOOL,ALACHUA,JOSEPH WILLIAMS ELEMENTARY SCHOOL,ALACHUA
JOSHUA CHRISTIAN ACADEMY,DUVAL,JOSHUA CHRISTIAN ACADEMY,DUVAL
JOURNEYS ACADEMY,SEMINOLE,JOURNEYS ACADEMY,SEMINOLE
JOURNEYS ACADEMY EDUCATIONAL PATHWAYS TO SUCESS,BREVARD,JOURNEYS ACADEMY EDUCATIONAL PATHWAYS TO SUCESS,BREVARD
JOYCE BULLOCK ELEMENTARY SCHOOL,LEVY,,
JOYCE M. BULLOCK ELEMENTARY SCHOOL,LEVY,JOYCE M. BULLOCK ELEMENTARY SCHOOL,LEVY
JP TARAVELLA HS,BROWARD,J. P. TARAVELLA HIGH SCHOOL,BROWARD
JUANITA G. HAWKINS CHRISTIAN ACADEMY,MIAMI-DADE,JUANITA G. HAWKINS CHRISTIAN ACADEMY,MIAMI-DADE
JUBILEE CHRISTIAN ACADEMY,ESCAMBIA,JUBILEE CHRISTIAN ACADEMY,ESCAMBIA
JUDSON B WALKER MIDDLE,ORANGE,JUDSON B WALKER MIDDLE,ORANGE
JULE F SUMNER HIGH SCHOOL,HILLSBOROUGH,JULE F SUMNER HIGH SCHOOL,HILLSBOROUGH
JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVE,DUVAL,JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT SCHOOL,DUVAL
JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVEL,DUVAL,JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT SCHOOL,DUVAL
JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT,DUVAL,JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT SCHOOL,DUVAL
JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT SCHOOL,DUVAL,JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT SCHOOL,DUVAL
JULINGTON CREEK ELEMENTARY,ST. JOHNS,JULINGTON CREEK ELEMENTARY SCHOOL,ST. JOHNS
JULINGTON CREEK ELEMENTARY SCHOOL,ST. JOHNS,JULINGTON CREEK ELEMENTARY SCHOOL,ST. JOHNS
JUPITER CHRISTIAN SCHOOL,PALM BEACH,JUPITER CHRISTIAN SCHOOL,PALM BEACH
JUPITER ELEMENTARY SCHOOL,BREVARD,JUPITER ELEMENTARY SCHOOL,BREVARD
JUPITER ELEMENTARY SCHOOL,PALM BEACH,JUPITER ELEMENTARY SCHOOL,PALM BEACH
JUPITER FARMS ELEMENTARY SCHOOL,PALM BEACH,JUPITER FARMS ELEMENTARY SCHOOL,PALM BEACH
JUPITER HIGH SCHOOL,PALM BEACH,JUPITER HIGH SCHOOL,PALM BEACH
JUPITER MIDDLE SCHOOL,PALM BEACH,JUPITER MIDDLE SCHOOL,PALM BEACH
JUST ELEMENTARY SCHOOL,HILLSBOROUGH,JUST ELEMENTARY SCHOOL,HILLSBOROUGH
JUST KIDS CENTERS INC,MIAMI-DADE,JUST KIDS CENTERS INC,MIAMI-DADE
K-8 LEENWOOD,UNKNOWN,K-8 LEENWOOD,UNKNOWN
K. E. CUNNINGHAM/CANAL POINT ELEMENTARY,PALM BEACH,K. E. CUNNINGHAM/CANAL POINT ELEMENTARY SCHOOL,PALM BEACH
KAISER UNIVERSITY,UNKNOWN,KEISER UNIVERSITY,PINELLAS
KAIZEN BEAUTY ACADEMY,BROWARD,KAIZEN BEAUTY ACADEMY,BROWARD
KALEIDOSCOPE SCHOOL OF DISCOVERY,BAY,KALEIDOSCOPE SCHOOL OF DISCOVERY,BAY
KANAPAHA MIDDLE SCHOOL,ALACHUA,KANAPAHA MIDDLE SCHOOL,ALACHUA
KANVAS ACADEMY,CLAY,KANVAS ACADEMY,CLAY
KAPLAN INTERNATIONAL LANGUAGES - MIAMI,MIAMI-DADE,KAPLAN INTERNATIONAL LANGUAGES - MIAMI,MIAMI-DADE
KAPLAN INTERNATIONAL LANGUAGES-MIAMI,MIAMI-DADE,KAPLAN INTERNATIONAL LANGUAGES - MIAMI,MIAMI-DADE
KAREN M. SIEGEL ACADEMY,POLK,KAREN M. SIEGEL ACADEMY,POLK
KATE M. SMITH ELEMENTARY SCHOOL,WASHINGTON,KATE M. SMITH ELEMENTARY SCHOOL,WASHINGTON
KATE SMITH ELEM,WASHINGTON,KATE M. SMITH ELEMENTARY SCHOOL,WASHINGTON
KATE SULLIVAN ELEMENTARY SCHOOL,LEON,KATE SULLIVAN ELEMENTARY SCHOOL,LEON
KATHLEEN ELEMENTARY SCHOOL,POLK,KATHLEEN ELEMENTARY SCHOOL,POLK
KATHLEEN HIGH SCHOOL,POLK,KATHLEEN HIGH SCHOOL,POLK
KATHLEEN MIDDLE SCHOOL,POLK,KATHLEEN MIDDLE SCHOOL,POLK
KATHLEEN SENIOR HIGH SCHOOL,POLK,KATHLEEN SENIOR HIGH SCHOOL,POLK
KATZ HILLEL DAY SCHOOL,UNKNOWN,KATZ HILLEL DAY SCHOOL,PALM BEACH
KATZ HILLEL DAY SCHOOL OF BOCA RATON,PALM BEACH,KATZ HILLEL DAY SCHOOL,PALM BEACH
"KATZ HILLEL DAY SCHOOL,",UNKNOWN,KATZ HILLEL DAY SCHOOL,PALM BEACH
KATZ YESHIVA HIGH SCHOOL,PALM BEACH,KATZ YESHIVA HIGH SCHOOL OF S. FLA,PALM BEACH
KATZ YESHIVA HIGH SCHOOL OF S. FLA,PALM BEACH,KATZ YESHIVA HIGH SCHOOL OF S. FLA,PALM BEACH
KAYLEENS LEARNING CENTER,MIAMI-DADE,KAYLEENS LEARNING CENTER,MIAMI-DADE
KEENE'S CROSSING ELEMENTARY SCHOOL,UNKNOWN,KEENE'S CROSSING ELEMENTARY SCHOOL,ORANGE
KEENES CROSSING ELEMENTARY,ORANGE,KEENES CROSSING ELEMENTARY SCHOOL,ORANGE
KEETH ELEMENTARY SCHOOL,SEMINOLE,KEETH ELEMENTARY SCHOOL,SEMINOLE
KEISER UNIVERSITY - CLEARWATER CAMPUS,PINELLAS,KEISER UNIVERSITY - CLEARWATER CAMPUS,PINELLAS
KEISER UNIVERSITY - DAYTONA BEACH CAMPUS,VOLUSIA,KEISER UNIVERSITY - DAYTONA BEACH CAMPUS,VOLUSIA
KEISER UNIVERSITY - FORT MYERS CAMPUS,LEE,KEISER UNIVERSITY - FORT MYERS CAMPUS,LEE
KEISER UNIVERSITY - FT. LAUDERDALE CAMPUS,BROWARD,KEISER UNIVERSITY - FT. LAUDERDALE CAMPUS,BROWARD
KEISER UNIVERSITY - JACKSONVILLE CAMPUS,DUVAL,KEISER UNIVERSITY - JACKSONVILLE CAMPUS,DUVAL
KEISER UNIVERSITY - LAKELAND CAMPUS,POLK,KEISER UNIVERSITY - LAKELAND CAMPUS,POLK
KEISER UNIVERSITY - LAKELAND CAMPUS,ST. LUCIE,KEISER UNIVERSITY - LAKELAND CAMPUS,ST. LUCIE
KEISER UNIVERSITY - MELBOURNE CAMPUS,BREVARD,KEISER UNIVERSITY - MELBOURNE CAMPUS,BREVARD
KEISER UNIVERSITY - MIAMI CAMPUS,MIAMI-DADE,KEISER UNIVERSITY - MIAMI CAMPUS,MIAMI-DADE
KEISER UNIVERSITY - NAPLES CAMPUS,COLLIER,KEISER UNIVERSITY - NAPLES CAMPUS,COLLIER
KEISER UNIVERSITY - NEW PORT RICHEY CAMPUS,PASCO,KEISER UNIVERSITY - NEW PORT RICHEY CAMPUS,PASCO
KEISER UNIVERSITY - ORLANDO CAMPUS,BREVARD,KEISER UNIVERSITY - ORLANDO CAMPUS,BREVARD
KEISER UNIVERSITY - PEMBROKE PINES CAMPUS,BROWARD,KEISER UNIVERSITY - PEMBROKE PINES CAMPUS,BROWARD
KEISER UNIVERSITY - PORT ST LUCIE CAMPUS,ST. LUCIE,KEISER UNIVERSITY - PORT ST LUCIE CAMPUS,ST. LUCIE
KEISER UNIVERSITY - SARASOTA CAMPUS,SARASOTA,KEISER UNIVERSITY - SARASOTA CAMPUS,SARASOTA
KEISER UNIVERSITY - TALLAHASSEE CAMPUS,LEON,KEISER UNIVERSITY - TALLAHASSEE CAMPUS,LEON
KEISER UNIVERSITY - TAMPA CAMPUS,HILLSBOROUGH,KEISER UNIVERSITY - TAMPA CAMPUS,HILLSBOROUGH
KEISER UNIVERSITY - WEST PALM BEACH CAMPUS,PALM BEACH,KEISER UNIVERSITY - WEST PALM BEACH CAMPUS,PALM BEACH
KEISER UNIVERSITY - WEST PALM BEACH FLAGSHIP CAMPUS,PALM BEACH,KEISER UNIVERSITY - WEST PALM BEACH CAMPUS,PALM BEACH
KEISER UNIVERSITY-CLEARWATER,PINELLAS,KEISER UNIVERSITY - CLEARWATER CAMPUS,PINELLAS
KEISER UNIVERSITY-DAYTONA BEACH,VOLUSIA,KEISER UNIVERSITY - DAYTONA BEACH CAMPUS,VOLUSIA
KEISER UNIVERSITY-FORT MYERS,LEE,KEISER UNIVERSITY - FORT MYERS CAMPUS,LEE
KEISER UNIVERSITY-FT. LAUDERDALE,BROWARD,KEISER UNIVERSITY - FT. LAUDERDALE CAMPUS,BROWARD
KEISER UNIVERSITY-JACKSONVILLE,DUVAL,KEISER UNIVERSITY - JACKSONVILLE CAMPUS,DUVAL
KEISER UNIVERSITY-LAKELAND,POLK,KEISER UNIVERSITY - LAKELAND CAMPUS,POLK
KEISER UNIVERSITY-LAKELAND,ST. LUCIE,KEISER UNIVERSITY - LAKELAND CAMPUS,ST. LUCIE
KEISER UNIVERSITY-MELBOURNE,BREVARD,KEISER UNIVERSITY - MELBOURNE CAMPUS,BREVARD
KEISER UNIVERSITY-MIAMI,MIAMI-DADE,KEISER UNIVERSITY - MIAMI CAMPUS,MIAMI-DADE
KEISER UNIVERSITY-NAPLES,COLLIER,KEISER UNIVERSITY - NAPLES CAMPUS,COLLIER
KEISER UNIVERSITY-NEW PORT RICHEY,PASCO,KEISER UNIVERSITY - NEW PORT RICHEY CAMPUS,PASCO
KEISER UNIVERSITY-ORLANDO,BREVARD,KEISER UNIVERSITY - ORLANDO CAMPUS,BREVARD
KEISER UNIVERSITY-PEMBROKE PINES,BROWARD,KEISER UNIVERSITY - PEMBROKE PINES CAMPUS,BROWARD
KEISER UNIVERSITY-PORT ST LUCIE,ST. LUCIE,KEISER UNIVERSITY - PORT ST LUCIE CAMPUS,ST. LUCIE
KEISER UNIVERSITY-SARASOTA,SARASOTA,KEISER UNIVERSITY - SARASOTA CAMPUS,SARASOTA
KEISER UNIVERSITY-TALLAHASSEE,LEON,KEISER UNIVERSITY - TALLAHASSEE,LEON
KEISER UNIVERSITY-TAMPA,HILLSBOROUGH,KEISER UNIVERSITY - TAMPA CAMPUS,HILLSBOROUGH
KEISER UNIVERSITY-WEST PALM BEACH,PALM BEACH,KEISER UNIVERSITY - WEST PALM BEACH CAMPUS,PALM BEACH
KEISER UNIVERSITY-WEST PALM BEACH FLAGSHIP,PALM BEACH,KEISER UNIVERSITY - WEST PALM BEACH CAMPUS,PALM BEACH
KELLEY SMITH ELEMENTARY SCHOOL,PUTNAM,KELLEY SMITH ELEMENTARY SCHOOL,PUTNAM
