County,School Name,School Address,City,School Grades,num_cases,affecting_who,date
Genesee,Bendle High School,2283 East Scottwood Avenue,Burton,High school,2,Students,2021-03-29
Benzie,Benzie Central Community Schools,9222 Homestead Rd,Benzonia,High school,11,Students,2020-11-02
Benzie,Benzie Central Community Schools,9300 Homestead Rd,Benzonia,High school,2,Students,2021-01-18
Berrien,Berrien Springs,430 W Mars St,Berrien Springs,High school,4,Students,2021-03-08
Berrien,Berrien Springs High School,1 Sylvester Ave,Berrien Springs,High school,2,Both,2020-12-07
Mecosta,Big Rapids High School,21175 15 Mile Rd,Big Rapids,High school,6,Students,2020-11-02
Mecosta,Big Rapids Middle School,500 N. Warren,Big Rapids,Junior high/middle school,7,Students,2020-11-02
Oakland,Bingham Farms Elementary,23400 13 Mile Rd,Bingham Farms,Pre-school - elementary,2,Staff,2020-12-07
Oakland,Bishop Foley High School,32000 N Campbell Rd,Madison Heights,High school,3,Students,2021-03-08
Ottawa,Black River Public School,491 Columbia Ave,Holland,Pre-school - elementary,2,Both,2021-02-15
Lenawee,Blissfield Schools,630 S. Lane St.,Blissfield,High school,2,Students,2020-09-21
Lenawee,Blissfield Schools,630 S. Lane St.,Blissfield,High school,8,Students,2021-03-08
Oakland,Bloomfield Christian School,3570 Telegraph Rd,Bloomfield Hills,High school,5,Students,2021-03-29
Oakland,Bloomfield Christian Upper School,3570 Telegraph Rd.,Bloomfield Hills,High school,2,Both,2020-11-09
Oakland,Bloomfield Hills High School,4200 Andover Rd,Bloomfield Twp,High school,2,Students,2021-04-05
Berrien,Blossomland,711 Saint Joseph,Berrien Springs,High school,2,Students,2020-11-09
Berrien,Blossomland,711 Saint Joseph Ave,Berrien Springs,Administrative,4,Both,2020-12-14
Lapeer,Borland Elementary,500 W. Borland Rd,Imlay City,Pre-school - elementary,4,Students,2020-12-07
Marquette,Bothwell,1200 Tierney,Marquette,Junior high/middle school,2,Students,2020-11-02
Charlevoix,Boyne City High School,1035 Boyne Ave,Boyne City,High school,3,Students,2021-01-25
Charlevoix,Boyne Falls School,1662 M-75,Boyne Falls,Junior high/middle school,2,Both,2021-02-08
Macomb,Bozymowski Center,11870 ELDORADO DR,Sterling Heights,Pre-school - elementary,2,Staff,2020-11-30
Allegan,Brandon Elementary School,1583 University St,Martin,Pre-school - elementary,2,Staff,2020-12-14
Berrien,Brandywine,1700 Bell Rd,Niles,High school,3,Students,2020-11-02
Berrien,Brandywine Middle/High School,1700 Bell Rd,Niles,Junior high/middle school,2,Staff,2020-12-14
Berrien,Brandywine Middle/High School,1700 Bell Road,Niles,High school,2,Staff,2021-02-08
Berrien,Brandywine Middle/High School,1700 Bell Road,Niles,High school,6,Students,2021-03-15
Berrien,Brandywine Middle/High School,1700 Bell Road,Niles,High school,2,Students,2021-03-15
Dickinson,Breitung Township Schools,2000 Pyle Drive,Kingsford,High school,10,Both,2020-10-26
Kent,Breton Downs Elementary,2500 Boston St SE,Grand Rapids,Pre-school - elementary,2,Both,2020-10-12
Kent,Breton Downs Elementary,2500 Boston St SE,Grand Rapids,Pre-school - elementary,4,Both,2020-11-09
Macomb,Briarwood Elementary,14100 Leisure Dr,Warren,Pre-school - elementary,5,Students,2021-04-05
Berrien,Bridgman Elementary,3891 Lake Street,Brdgman,Pre-school - elementary,4,Both,2020-11-09
Livingston,Brighton High School,7878 Brighton Road,Brighton,High school,2,Students,2020-12-07
Livingston,Brighton High School,7878 Brighton Road,Brighton,High school,3,Both,2021-03-15
Livingston,Brighton High School,7878 Brighton Road,Brighton,High school,2,Students,2021-04-05
Livingston,Brighton High School,7878 Brighton Road,Brighton,High school,3,Students,2021-04-05
Branch,Bronson Community Scool,501 E. Chicago St,Bronson,High school,4,Students,2020-09-28
Oakland,Brookfield Academy in Troy,3950 Livernois Rd,Troy,Pre-school - elementary,2,Students,2020-09-21
Oakland,Brooklands Elementary School,490 E. Auburn Rd,Rochester Hills,Pre-school - elementary,2,Students,2021-03-22
Mecosta,Brookside Elementary,210 Escott St,Big Rapids,Administrative,3,Staff,2020-11-09
Berrien,Brown Elementary School,2027 Brown School Rd,Saint Joseph,Pre-school - elementary,3,Both,2020-12-14
Berrien,Buchanan Elementary,109 Ottawa,Buchanan,Pre-school - elementary,4,Staff,2020-11-23
Berrien,Buchanan High School,401 W Chicago St,Buchanan,High school,2,Students,2021-03-29
Wexford,Buckley Middle School,305 N. 1st St,Buckley,Junior high/middle school,2,Students,2021-02-01
Midland,Bullock Creek Elementary,1037 S Poseyville Rd,Midland,Pre-school - elementary,2,Both,2020-11-09
Detroit City,Bunche Prepatory Academy,2715 Macomb Street,Detroit,Junior high/middle school,2,Staff,2020-11-30
Livingston,Bus Transportation  Southwest Elementary  Three Fires Elementary,915 Gay Street  4125 Crooked Lake Road,Howell,Pre-school - elementary,2,Students,2021-02-01
Kent,Byron Center High School,8500 Burlingame Ave SW,Byron Center,High school,7,Students,2020-10-19
Shiawassee,Byron High School,312 Maple St,Byron,High school,2,Students,2020-11-02
Clinton,CCRESA Administration,1013 Old US 27,St. Johns,Administrative,2,Staff,2021-04-05
Kent,Caledonia High School,9050 Kraft Ave SE,Caledonia,High school,6,Students,2020-12-07
Calhoun,Calhoun ISD,17111 G Drive North,Marshall,Administrative,3,Staff,2021-03-15
Midland,Calvary Baptist Academy,6100 Perrine Rd,Midland,Pre-school - elementary,2,Both,2020-12-07
Wayne,Canton High School,8415 N Canton Center Rd,Canton,High school,7,Both,2020-11-02
St. Clair,Capac Elementary School,351 W. Kempt Ct.,Capac,Pre-school - elementary,3,Staff,2020-11-30
St. Clair,Cardinal Mooney Catholic High School,660 South Water Street,Marine City,High school,2,Students,2020-11-02
Wayne,Carlson High School,29748 W. Jefferson Ave,Rockwood,High school,2,Students,2020-09-28
Wayne,Carlson High School,29748 W. Jefferson Ave,Rockwood,High school,9,Students,2021-03-01
Menominee,Carney-Nadeau Public School,151 US 41 North,Carney,High school,2,Both,2020-11-16
Tuscola,CaroHigh School,301 N Hooper ST,Caro,High school,3,Both,2020-11-30
Oakland,Carpenter Elementary School,2290 Flintridge St,Lake Orion,Pre-school - elementary,2,Both,2021-02-15
Montcalm,Carson City Crystal Bussing,213 E Sherman St,Carson City,High school,2,Staff,2020-11-02
Montcalm,Carson City Elementary,338 Eagle Ave,Carson City,Pre-school - elementary,6,Both,2020-09-28
Sanilac,Carsonville Port Sanilac,100 N Goetze,Carsonville,Pre-school - elementary,4,Both,2021-03-22
Sanilac,Carsonville Port Sanilac Schools,100 N Goetze Rd,Carsonville,High school,2,Both,2021-03-08
Huron,Caseville Community Schools,6609 Vine St.,Caseville,High school,6,Both,2021-03-15
Tuscola,Cass City Elementary,4805 Ale St,Cass City,Pre-school - elementary,3,Both,2020-11-23
Oakland,Catholic Central,27225 Wixom Rd,Novi,High school,2,Students,2021-04-05
Oakland,Catholic Central,27225 Wixom Rd,Novi,High school,3,Students,2021-04-05
Barry,Cedar Creek Christian School,9213 Cedar Creek Rd,Delton,High school,4,Both,2020-12-07
Kent,Cedar Springs High School,204 E Muskegon St,Cedar Springs,High school,7,Both,2020-11-09
Macomb,Center Line Public School,26400 Arsenal St,Center Line,Administrative,2,Staff,2021-03-08
Menominee,Central Elementary School,1800 18th Ave,Menominee,Pre-school - elementary,3,Both,2020-09-21
Antrim,Central Lake High School,8190 W State St,Central Lake,High school,2,Both,2021-03-08
Montcalm,Central Montcalm,1480 S. Sheridan Rd,Stanton,High school,2,Students,2020-11-23
Montcalm,Central Montcalm,1480 S Sheridan Rd,Stanton,Junior high/middle school,4,Students,2021-03-29
Montcalm,Central Montcalm Elem,289 St Clair St,Sheridan,Pre-school - elementary,3,Students,2021-02-08
St. Joseph,Centreville,190 Hogan St.,Centreville,Pre-school - elementary,5,Staff,2021-01-25
St. Joseph,Centreville School,109 Hogan St,Centreville,Pre-school - elementary,2,Students,2020-11-09
Kent,Cesar E Chavez Elementary,1205 Grandville Ave SW,Grand Rapids,Pre-school - elementary,3,Staff,2020-11-09
Wayne,Chapman Elementary School,31500 Olmstead Rd,Rockwood,Pre-school - elementary,2,Students,2020-09-28
Charlevoix,Char-Em School - East Jordan,101 Maple St,East Jordan,Pre-school - elementary,2,Both,2021-03-22
Detroit City,Charles R. Drew Transtion Center,90 Wyoming Ave,Detroit City,Administrative,2,Staff,2020-12-14
Charlevoix,Charlevoix Middle-High School,5200 Marion Center Rd,Charlevoix,High School,5,Students,2021-03-08
Charlevoix,Charlevoix Montessori,115 W Hulburt St,Charlevoix,Pre-school - elementary,4,both,2021-03-22
Eaton,Charlotte High School,,Charlotte,High school,2,Students,2021-03-01
Roscommon,Charlton Heston Academy,1350 N. St Helen Road,St Helen,,2,Staff,2021-04-05
Cheboygan,Cheboygan High School,801 W Lincoln Ave,Cheboygan,High school,5,Both,2021-03-01
Cheboygan,Cheboygan Intermediate Elementary,905 W Lincoln Ave,Cheboygan,Junior high/middle school,3,Students,2021-03-01
Cheboygan,Cheboygan Inverness Academy,7461 N Straits Hwy,Cheboygan,High school,5,Staff,2021-03-01
Washtenaw,Chelsea School District,,Chelsea,Pre-school - elementary,2,Both,2021-01-25
Washtenaw,Chelsea Schools,16195 Old US 12,Chelsea,Administrative,3,Staff,2020-12-21
Marquette,Cherry Creek Elementary,1111 Ortmann,Marquette,Pre-school - elementary,2,Students,2020-11-16
Saginaw,Chesaning High School,216 N. Chapman,Chesaning,High school,6,Students,2021-03-01
Ingham,Childtime Learning Center,920 Jerome,Lansing,Pre-school - elementary,3,Staff,2020-11-09
Macomb,Chippewa Valley High School,18300 19 Mile Rd,Clinton Twp,High school,4,Students,2021-03-08
Macomb,Chippewa Valley Schools Administration,19120 Cass Ave,Clinton Township,Pre-school - elementary,2,Staff,2020-09-28
Huron,Christ the King Lutheran School,612 E Bay St,Sebewaing,Junior high/middle school,2,Both,2021-03-22
Wayne,Churchill High School,8900 Newburgh Rd,Livonia,High school,5,Students,2021-03-29
Ottawa,Cityside Middle School,320 E Main St,Zeeland,Junior high/middle school,2,Students,2021-02-15
Oakland,Clarenceville High School,20155 Middlebelt Rd,Livonia,High school,2,Both,2021-03-29
Oakland,Clarkston Elementary,6589 Waldon Rd,Village of Clarkston,Pre-school - elementary,2,Staff,2020-12-21
Oakland,Clarkston HS,6093 Flemings Lake Rd,Village of Clarkston,High school,2,Students,2021-04-05
Oakland,Clarkston HS Womens Varsity Lacrosse Team,6093 Flemings Lake Rd,Village of Clarkston,High school,2,Students,2021-04-05
Oakland,Clarkston Highschool,6093 Flemings Lake Rd,Village of Clarkston,High school,2,Staff,2020-12-28
Oakland,Clarkston Schools Administrative Building,6389 Clarkston Rd,Village of Clarkston,Administrative,2,Staff,2021-04-05
Wayne,Cleveland Elementary School,28030 Cathedral St,Livonia,Elementary,2,Students,2021-03-29
Clinton,Clinton County RESA,1013 Old US 27 A,St. Johns,High school,2,Students,2021-03-29
Lenawee,Clinton Schools,341 E. Michigan Ave.,Clinton,High school,3,Students,2021-03-15
Macomb,Clinton Valley Elementary School,1260 Mulberry,Mount Clemens,Pre-school - elementary,3,Staff,2020-10-12
Macomb,Clintondale Parker Elementary,22055 Quinn Rd,Clinton Township,Pre-school - elementary,2,Both,2021-03-22
Branch,Coldwater High School,275 N Fremont St.,Coldwater,High school,6,Students,2020-09-28
Branch,Coldwater High School,275 N Fremont,Coldwater,High school,2,Students,2020-11-09
Branch,Coldwater High School,275 N Fremont St.,Coldwater,High school,2,Students,2021-03-15
Branch,Coldwater High School,275 N Fremont St.,Coldwater,High school,2,Students,2021-04-05
Branch,Coldwater School,275 N. Fremont St,Coldwater,Administrative,8,Staff,2020-11-09
Ingham,Cole Academy East,2921 Coleman Rd,East Lansing,Pre-school - elementary,2,Staff,2020-11-30
Midland,Coleman Elementary,1010 E. Washington Street,Coleman,Pre-school - elementary,2,Both,2021-03-08
Kent,Collins Elementary,4368 Heather Ln SE,Grand Rapids,Pre-school - elementary,5,Both,2020-12-07
Berrien,Coloma High School,300 West Saint Joseph St,Coloma,High school,3,Both,2020-11-30
Jackson,Columbia Central High Schol,11775 Hewitt Rd.,Brooklyn,High school,3,both,2021-03-22
Kalamazoo,Comstock Elementary,1423 N 28th S,Kalamazoo,Pre-school - elementary,2,Staff,2020-11-02
Jackson,Concord Elementary School,405 S. Main Street,Concord,Pre-school - elementary,2,Students,2020-12-07
Jackson,Concord Middle School,405 S. Main Street,Concord,Junior high/middle school,2,Students,2020-12-07
Oakland,Cooke Middle School,21200 Taft Rd,Northville,Junior high/middle school,5,Both,2020-12-14
Kalamazoo,Cooper Elementary School,7559 14th St N,Kalamazoo,Pre-school - elementary,2,Staff,2020-10-12
Ottawa,Coopersville High School,198 East St,Coopersville,High school,2,Students,2020-11-16
Ottawa,Coopersville Middle School,198 East St,Coopersville,Junior high/middle school,2,Students,2021-01-25
Ottawa,Coopersville South Elementary,198 East St,Coopersville,Pre-school - elementary,3,Staff,2020-12-14
Cheboygan,Cornerstone Christian School,900 S Western Ave,Cheboygan,Junior high/middle school,3,Both,2021-03-22
Livingston,Cornerstone Christian School,9455 Hilton Road,Brighton,Pre-school - elementary,2,Students,2021-03-29
Oakland,Country Oaks Elementary,5070 S Duck Lake Rd,Commerce Charter Township,Junior high/middle school,2,Students,2021-03-15
Berrien,Countryside Academy Upper Elementary,4800 Meadowbrook Road,Benton Harbor,Pre-school - elementary,2,,2021-03-29
Macomb,Cousino Senior High School,30333 Hoover Rd,Warren,High school,2,Students,2020-11-16
Lapeer,Cramton elementary,1220 Lake Nepessing Rd,Lapeer,Pre-school - elementary,2,Staff,2020-11-02
Livingston,Creekside Elementary School,3480 East Street,Hartland,Pre-school - elementary,2,Both,2020-12-14
Ottawa,Creekside Middle School,179 W Roosevelt Ave,Zeeland,Junior high/middle school,2,Students,2020-11-23
Macomb,Croswell Elementary,175 Croswell St,Romeo,Pre-school - elementary,3,Both,2021-03-22
Sanilac,Croswell Lexington Schools,5407 E Peck Rd,Croswell,Pre-school - elementary,2,Both,2020-12-14
Sanilac,Croswell Lexington Schools,5407 Peck Rd,Croswell,High school,12,Both,2021-03-22
Sanilac,Croswell/Lexington,5407 Peck Rd,Croswell,Pre-school - elementary,2,Staff,2021-03-01
Macomb,Dakota High School,21051 21 Mile Rd,Macomb,High school,5,Students,2020-10-26
Macomb,Dakota High School,21051 21 Mile Rd,Macomb,High school,3,Students,2021-02-22
Wayne,Davidson Middle School,15800 Trenton Rd,Southgate,Junior high/middle school,3,Staff,2020-11-09
Hillsdale,Davis Middle School,30 N. West St,Hillsdale,Junior high/middle school,7,Both,2020-10-19
Genesee,Davison Central Elementary School,600 South State Road,Davison,Pre-school - elementary,2,Staff,2020-12-07
Genesee,Davison Middle School,600 South Dayton Street,Davison,Junior high/middle school,3,Students,2020-10-19
Osceola,Daystar Christian Academy,3976 80th Avenue,Evart,Pre-school - elementary,2,Staff,2020-12-21
Macomb,De La Salle Collegiate High School,14600 Common Rd,Warren,High school,6,Students,2021-03-01
Wayne,Dearborn High School,19501 Outer Dr,Dearborn,High school,2,Studennts,2021-03-08
Sanilac,Deckerville Community Schools,2633 Black River St,Deckerville,Pre-school - elementary,4,Both,2020-12-14
Sanilac,Deckerville Schools,2633 Black River St,Deckerville,Pre-school - elementary,4,Both,2021-01-18
Eaton,Delta Mills Early Childhood Center,6816 Delta River Dr,Lansing,Pre-school - elementary,2,Students,2021-02-01
Detroit City,Detroit Academy Of Arts and Science,"2985 E Jefferson,",Detroit City,Administrative,2,Staff,2021-03-15
Oakland,Detroit Country Day School,22305 W 13 Mile Rd,Beverly Hills,High school,4,Students,2021-03-29
Oakland,Detroit Country Day School,22305 W 13 Mile Rd,Beverly Hills,High school,3,Students,2021-04-05
Detroit City,Detroit Enterprise Academy,11224 Kercheval St,Detroit,Administrative,3,Staff,2020-11-23
Detroit City,Detroit Prep,8411 Sylvester,Detroit City,Pre-school - elementary,3,Both,2021-03-22
Clinton,Dewitt Middle School,2957 W Herbison,Dewitt,Junior high/middle school,2,Students,2021-04-05
Clinton,Dewitt Public Schools - Schavey Rd Elem,1721 Schavey Rd,Dewitt,Pre-school - elementary,2,Both,2020-11-09
Washtenaw,Dexter Community Schools,,Dexter,Junior high/middle school,2,Staff,2021-02-01
Washtenaw,Dexter Special Ed Preschool,2704 Baker Rd,Dexter,Pre-school - elementary,2,Staff,2020-12-07
Genesee,Diek Elementary School,2239 South Van Vleet Road,Swartz Creek,Pre-school - elementary,3,Staff,2020-10-19
Wayne,Divine Child Catholic High School,1001 Silvery Ln,Dearborn,High school,3,Both,2021-01-25
Wayne,Divine Child Elementary School,25001 Herbert Weier,Dearborn,Junior high/middle school,2,Students,2021-02-15
Wayne,Divine Child High School,1001 Silvery Ln,Dearborn,High school,15,Students,2021-03-22
Lapeer,Dryden Elementary,3866 Rochester Rd,Dryden,Pre-school - elementary,2,Both,2021-03-29
Lapeer,Dryden High School,3866 Dryden High School,Dryden,High school,5,Both,2021-01-25
Lapeer,Dryden High School,3866 Dryden High School,Dryden,High school,5,Both,2021-02-15
Washtenaw,EMU Childrens Institute,1055 Cornell Rd,Ypsilanti,Pre-school - elementary,5,Staff,2020-11-23
Bay,EPS Cramer,313 Pine St,Essexville,Junior high/middle school,4,Both,2020-11-23
Bay,EPS Garber,213 Pine St,Essexville,High school,3,Students,2020-11-23
Midland,ESA - Sugnet Building,3917 Jefferson Ave,Midland,Junior high/middle school,6,Both,2020-11-16
Midland,ESA - Sugnet Building,3917 Jefferson Ave,Midland,Administrative,2,Staff,2020-11-30
Ottawa,Eagle Crest Charter Academy,11950 Riley St,Holland,Junior high/middle school,2,Students,2020-11-23
Wayne,Earhart Elementary,1000 Scotten Ave,Detroit,Pre-school - elementary,5,Staff,2020-11-02
Ottawa,Early Childhood Center - Allendale,10505 Learning Ln,Allendale,Pre-school - elementary,2,Staff,2020-12-14
Ottawa,Early Childhood Center - Jenison,2950 Baldwin St,Jenison,Pre-school - elementary,2,Both,2020-12-07
Genesee,Early Learning Center - Genesee Intermediate School District,3375 Van Campen Road,Flint,Pre-school - elementary,3,Staff,2020-11-02
Kent,East Grand Rapids High School,2211 Lake Dr SE,East Grand Rapids,High school,4,Students,2020-11-02
Kent,East Grand Rapids High School,2211 Lake Dr SE,East Grand Rapids,High school,12,Students,2021-03-08
Charlevoix,East Jordan Elementary,304 4th St,East Jordan,Pre-school - elementary,2,Staff,2020-11-02
Charlevoix,East Jordan Elementary School,304 4th St,East Jordan,Pre-school - elementary,2,Students,2021-03-29
Charlevoix,East Jordan High School,951 Mill St,East Jordan,High School,11,Both,2021-02-01
Charlevoix,East Jordan Middle and High School,951 Mill St,East Jordan,Junior high/middle school,2,Both,2020-12-07
Charlevoix,East Jordan Middle and High School,101 Maple St,East Jordan,High school,7,both,2021-03-22
Charlevoix,East Jordan NMCAA Preschool,304 4th st,East Jordan,Pre-school - elementary,2,Staff,2020-12-07
Charlevoix,East Jordan Preschool,304 4th st,East Jordan,Pre-school - elementary,2,Students,2021-02-01
Kent,East Kentwood High School,6230 Kalamazoo Ave SE,Kentwood,High school,7,Both,2020-11-02
Ingham,East Lansing High School,509 Burcham Dr.,East Lansing,High school,4,Students,2021-03-15
Calhoun,East Leroy Elementary,4320 K Dr S,East Leroy,Pre-school - elementary,4,Staff,2020-11-02
Wayne,East Middle School,1042 S. Mill St.,Plymouth,Junior high/middle school,5,Students,2021-03-29
Macomb,Eastland Middle School,18700 Frank St,Roseville,Junior high/middle school,2,Staff,2020-11-23
Ingham,Eastminster,693 N Hagadorn Rd,East Lansing,Pre-school - elementary,3,Both,2021-02-08
Wayne,Edsel Ford High School,20601 Rotunda Dr,Dearborn,High school,9,Both,2021-03-01
Cass,Edwardsburg Community Schools,M62,Edwardsburg,Pre-school - elementary,7,Both,2021-02-08
Cass,Edwardsburg High School Wrestling Team,Section Street,Edwardsburg,High school,7,Students,2021-03-01
Cass,Edwardsburg Schools,69230 Section Street,Edwardsburg,Junior high/middle school,4,Students,2020-10-19
Ottawa,El Puente Spanish Immersion,2950 Baldwin St,Hudsonville,Pre-school - elementary,2,Both,2020-12-14
Antrim,Elk Rapids High School,308 Meguzee Point Rd,Elk Rapids,Junior high/middle school,2,Students,2021-02-15
Antrim,Ellsworth Middle High School,9467 Park St,Ellsworth,Junior high/middle school,3,Both,2021-03-15
Shiawassee,Emerson Elementary,515 E. Oliver St.,Owosso,Pre-school - elementary,2,Both,2021-03-15
Calhoun,Endeavor,380 Helmer Rd N,Springfield,Pre-school - elementary,4,Both,2021-03-15
Macomb,Endeavor Middle School,22505 26 Mile Rd,Ray,Junior high/middle school,4,Students,2021-02-15
Mackinac,Engadine Cosolidated School,W13920 Melville Street,Engadine,Junior high/middle school,3,Both,2020-11-30
Delta,Escanaba Jr/Sr High,500 South Lincoln Road,Escanaba,Junior high/middle school,4,Students,2020-09-28
Bay,Essexville Verellen Elementary,612 Borton Rd,Essexville,Pre-school - elementary,3,Students,2020-11-23
Bay,Faith Lutheran,3033 Wilder Rd,Bay City,Pre-school - elementary,4,Both,2021-03-01
Oakland,Farmington Hills Schools Maintenance,29350 W. Ten Mile Road,Farmington,Administrative,2,Staff,2020-12-21
Washtenaw,Father Gabriel Richard HS,4333 Whitehall Dr,Ann Arbor,High school,12,Students,2020-10-12
Montcalm,Fellowship Baptist Academy,8070 Bloomer St,Carson City,Junior high/middle school,2,Students,2021-02-22
Allegan,Fennville High School,4 S Memorial Dr,Fennville,High school,2,Students,2020-11-16
