school,county
SAINT JOSEPH CATHOLIC SCHOOL,BREVARD
SATELLITE SENIOR HIGH SCHOOL,BREVARD
SATURN ELEMENTARY SCHOOL,BREVARD
SCULPTOR CHARTER SCHOOL,BREVARD
SEA PARK ELEMENTARY SCHOOL,BREVARD
SOUTHWEST MIDDLE SCHOOL,BREVARD
SPACE COAST JUNIOR/SENIOR HIGH SCHOOL,BREVARD
STONE MAGNET MIDDLE SCHOOL,BREVARD
SUNRISE ELEMENTARY SCHOOL,BREVARD
TITUSVILLE HIGH SCHOOL,BREVARD
TROPICAL ELEMENTARY SCHOOL,BREVARD
UNIVERSITY PARK ELEMENTARY SCHOOL,BREVARD
VIERA HIGH SCHOOL,BREVARD
W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE,BREVARD
WEST MELBOURNE CHRISTIAN ACADEMY,BREVARD
WESTSIDE ELEMENTARY SCHOOL,BREVARD
AMERICAN HERITAGE SCHOOL,BROWARD
ANNABEL C. PERRY PK-8,BROWARD
ATLANTIC MONTESSORI CHARTER SCHOOL,BROWARD
ATLANTIC TECHNICAL COLLEGE,BROWARD
AVANT GARDE ACADEMY OF BROWARD,BROWARD
BROWARD COLLEGE- NORTH CAMPUS,BROWARD
CALVARY CHRISTIAN ACADEMY,BROWARD
CALVARY CHRISTIAN ACADEMY HOLLYWOOD,BROWARD
CASTLE HILL ELEMENTARY SCHOOL,BROWARD
CHAMINADE-MADONNA COLLEGE PREPARATORY,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL,BROWARD
CHARLES DREW ELEMENTARY SCHOOL,BROWARD
COCONUT CREEK HIGH SCHOOL,BROWARD
CORAL COVE ELEMENTARY SCHOOL,BROWARD
CORAL SPRINGS MIDDLE SCHOOL,BROWARD
CYPRESS BAY HIGH SCHOOL,BROWARD
DAVID POSNACK JEWISH DAY SCHOOL,BROWARD
DAVID POSNACK JEWISH DAY SCHOOL EAST CAMPUS,BROWARD
DEERFIELD BEACH HIGH SCHOOL,BROWARD
DILLARD 6-12,BROWARD
DRIFTWOOD MIDDLE SCHOOL,BROWARD
EVERGLADES ELEMENTARY SCHOOL,BROWARD
EVERGLADES HIGH SCHOOL,BROWARD
FOX TRAIL ELEMENTARY SCHOOL,BROWARD
FRANKLIN ACADEMY SUNRISE,BROWARD
HENRY D PERRY EDUCATION CENTER,BROWARD
HOCHBERG PREPARATORY SCHOOL,BROWARD
HORIZON ELEMENTARY SCHOOL,BROWARD
IMAGINE CHARTER SCHOOL AT WESTON,BROWARD
INDIAN RIDGE MIDDLE SCHOOL,BROWARD
J. P. TARAVELLA HIGH SCHOOL,BROWARD
LAUDERHILL 6-12,BROWARD
LYONS CREEK MIDDLE SCHOOL,BROWARD
MARGATE ELEMENTARY SCHOOL,BROWARD
MARJORY STONEMAN DOUGLAS HIGH SCHOOL,BROWARD
MARY HELP OF CHRISTIANS SCHOOL,BROWARD
MCFATTER TECHNICAL COLLEGE,BROWARD
MONARCH HIGH SCHOOL,BROWARD
MONTESSORI ACADEMY,BROWARD
NATIVITY SCHOOL,BROWARD
PARK SPRINGS ELEMENTARY SCHOOL,BROWARD
PETERS ELEMENTARY SCHOOL,BROWARD
PINES MIDDLE SCHOOL,BROWARD
POMPANO BEACH HIGH SCHOOL,BROWARD
RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES,BROWARD
RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,BROWARD
ROHR BAIS CHAYA ACADEMY,BROWARD
SAGEMONT GLOBAL EDUCATION - LOWER CAMPUS,BROWARD
SAINT THOMAS AQUINAS HIGH SCHOOL,BROWARD
SAWGRASS SPRINGS MIDDLE SCHOOL,BROWARD
SEMINOLE MIDDLE SCHOOL,BROWARD
SHERIDAN HILLS CHRISTIAN SCHOOL,BROWARD
SOMERSET ACADEMY,BROWARD
SOMERSET ACADEMY CHARTER HIGH,BROWARD
SOUTH PLANTATION HIGH SCHOOL,BROWARD
STIRLING ELEMENTARY SCHOOL,BROWARD
TEMPLE BETH EMET DAY SCHOOL,BROWARD
WEST BROWARD ACADEMY,BROWARD
WEST BROWARD HIGH SCHOOL,BROWARD
WESTMINSTER ACADEMY,BROWARD
WESTON CHRISTIAN ACADEMY,BROWARD
WESTPINE MIDDLE SCHOOL,BROWARD
BLOUNTSTOWN HIGH SCHOOL,CALHOUN
CHARLOTTE HIGH SCHOOL,CHARLOTTE
DEEP CREEK ELEMENTARY SCHOOL,CHARLOTTE
KINGSWAY ELEMENTARY SCHOOL,CHARLOTTE
MURDOCK MIDDLE SCHOOL,CHARLOTTE
PORT CHARLOTTE HIGH SCHOOL,CHARLOTTE
PORT CHARLOTTE MIDDLE SCHOOL,CHARLOTTE
CENTRAL RIDGE ELEMENTARY SCHOOL,CITRUS
CITRUS HIGH SCHOOL,CITRUS
CITRUS SPRINGS ELEMENTARY SCHOOL,CITRUS
CREST SCHOOL,CITRUS
CRYSTAL RIVER HIGH SCHOOL,CITRUS
CRYSTAL RIVER MIDDLE SCHOOL,CITRUS
CRYSTAL RIVER PRIMARY SCHOOL,CITRUS
FOREST RIDGE ELEMENTARY SCHOOL,CITRUS
INVERNESS CHRISTIAN ACADEMY,CITRUS
INVERNESS MIDDLE SCHOOL,CITRUS
LECANTO HIGH SCHOOL,CITRUS
PLEASANT GROVE ELEMENTARY SCHOOL,CITRUS
SEVEN RIVERS CHRISTIAN SCHOOL,CITRUS
SOLID ROCK CHRISTIAN ACADEMY,CITRUS
ARGYLE ELEMENTARY SCHOOL,CLAY
CLAY CHARTER ACADEMY,CLAY
CLAY HIGH SCHOOL,CLAY
FLEMING ISLAND ELEMENTARY SCHOOL,CLAY
FLEMING ISLAND HIGH SCHOOL,CLAY
GREEN COVE SPRINGS JUNIOR HIGH SCHOOL,CLAY
KEYSTONE HEIGHTS ELEMENTARY,CLAY
KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH,CLAY
LAKE ASBURY ELEMENTARY SCHOOL,CLAY
LAKE ASBURY JUNIOR HIGH SCHOOL,CLAY
LAKESIDE JUNIOR HIGH SCHOOL,CLAY
MIDDLEBURG HIGH SCHOOL,CLAY
OAKLEAF HIGH SCHOOL,CLAY
OAKLEAF JUNIOR HIGH,CLAY
OAKLEAF VILLAGE ELEMENTARY SCHOOL,CLAY
ORANGE PARK ELEMENTARY SCHOOL,CLAY
ORANGE PARK HIGH SCHOOL,CLAY
PLANTATION OAKS ELEMENTARY SCHOOL,CLAY
S BRYAN JENNINGS ELEMENTARY SCHOOL,CLAY
TYNES ELEMENTARY SCHOOL,CLAY
BARRON COLLIER HIGH SCHOOL,COLLIER
CORKSCREW ELEMENTARY SCHOOL,COLLIER
CYPRESS PALM MIDDLE SCHOOL,COLLIER
EAST NAPLES MIDDLE SCHOOL,COLLIER
EDEN PARK ELEMENTARY SCHOOL,COLLIER
GOLDEN GATE ELEMENTARY SCHOOL,COLLIER
GOLDEN GATE HIGH SCHOOL,COLLIER
GULF COAST HIGH SCHOOL,COLLIER
HIGHLANDS ELEMENTARY SCHOOL,COLLIER
IMMOKALEE HIGH SCHOOL,COLLIER
IMMOKALEE MIDDLE SCHOOL,COLLIER
LAKE TRAFFORD ELEMENTARY SCHOOL,COLLIER
LAUREL OAK ELEMENTARY SCHOOL,COLLIER
LELY ELEMENTARY SCHOOL,COLLIER
MARCO ISLAND CHARTER MIDDLE,COLLIER
MIKE DAVIS ELEMENTARY SCHOOL,COLLIER
NAPLES HIGH SCHOOL,COLLIER
NORTH NAPLES MIDDLE SCHOOL,COLLIER
OAKRIDGE MIDDLE SCHOOL,COLLIER
OSCEOLA ELEMENTARY SCHOOL,COLLIER
PALMETTO RIDGE HIGH SCHOOL,COLLIER
PINE RIDGE MIDDLE SCHOOL,COLLIER
POINCIANA ELEMENTARY SCHOOL,COLLIER
SEA GATE ELEMENTARY SCHOOL,COLLIER
THE VILLAGE SCHOOL,COLLIER
VETERANS MEMORIAL ELEMENTARY SCHOOL,COLLIER
BELMONT ACADEMY,COLUMBIA
COLUMBIA CITY ELEMENTARY SCHOOL,COLUMBIA
COLUMBIA HIGH SCHOOL,COLUMBIA
COVENANT COMMUNITY SCHOOL,COLUMBIA
EPIPHANY CATHOLIC SCHOOL,COLUMBIA
FORT WHITE ELEMENTARY SCHOOL,COLUMBIA
FORT WHITE HIGH SCHOOL,COLUMBIA
HART 2 HART ACADEMY INC,COLUMBIA
LAKE CITY MIDDLE SCHOOL,COLUMBIA
PATHWAYS ACADEMY,COLUMBIA
PINEMOUNT ELEMENTARY SCHOOL,COLUMBIA
RICHARDSON SIXTH GRADE ACADEMY,COLUMBIA
SUMMERS ELEMENTARY SCHOOL,COLUMBIA
"ALEXANDER SCHOOL, INC.",MIAMI-DADE
BARBARA GOLEMAN SENIOR HIGH,MIAMI-DADE
BROWNSVILLE MIDDLE SCHOOL,MIAMI-DADE
CAMPBELL DRIVE K-8 CENTER,MIAMI-DADE
CHAMPAGNAT CATHOLIC SCHOOL OF HIALEAH,MIAMI-DADE
CHILDREN'S RAINBOW DAYSCHOOL ACADEMY,MIAMI-DADE
CHRIST FELLOWSHIP ACADEMY,MIAMI-DADE
CHRISTOPHER COLUMBUS HIGH SCHOOL,MIAMI-DADE
CONCORDIA LUTHERAN SCHOOL,MIAMI-DADE
DIVINE SAVIOR LUTHERAN ACADEMY,MIAMI-DADE
EINSTEINS LEARNING CENTER 1 INC,MIAMI-DADE
EUGENIA B. THOMAS K-8 CENTER,MIAMI-DADE
FLORIDA CHRISTIAN SCHOOL,MIAMI-DADE
FRANCES S. TUCKER ELEMENTARY SCHOOL,MIAMI-DADE
GRANADA DAY SCHOOL,MIAMI-DADE
GULLIVER ACADEMY,MIAMI-DADE
HIALEAH-MIAMI LAKES SENIOR HIGH,MIAMI-DADE
HOREB CHRISTIAN SCHOOL,MIAMI-DADE
IMATER ACADEMY,MIAMI-DADE
INTERNATIONAL BILINGUAL PRESCHOOL,MIAMI-DADE
KENDALL CHRISTIAN,MIAMI-DADE
KEY POINT CHRISTIAN ACADEMY,MIAMI-DADE
KINLOCH PARK ELEMENTARY SCHOOL,MIAMI-DADE
LA PROGRESIVA PRESBYTERIAN SCHOOL INC.,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 10,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 13,MIAMI-DADE
LUBAVITCH EDUCATIONAL CENTER INC.,MIAMI-DADE
MESIVTA OF GREATER MIAMI,MIAMI-DADE
MIAMI SOUTHRIDGE SENIOR HIGH,MIAMI-DADE
OUR LADY OF THE LAKES CATHOLIC SCHOOL,MIAMI-DADE
PALM SPRINGS ELEMENTARY SCHOOL,MIAMI-DADE
PALM SPRINGS MIDDLE SCHOOL,MIAMI-DADE
SAINT BRENDAN HIGH SCHOOL,MIAMI-DADE
SAINT TIMOTHY PARISH SCHOOL,MIAMI-DADE
SHELTON ACADEMY,MIAMI-DADE
SOUTH MIAMI SENIOR HIGH SCHOOL,MIAMI-DADE
THE 2ND HOUSE ACADEMY CORP.,MIAMI-DADE
THE CUSHMAN SCHOOL,MIAMI-DADE
TROPICAL ELEMENTARY SCHOOL,MIAMI-DADE
TRUE NORTH CLASSICAL ACADEMY,MIAMI-DADE
YESHIVA ELEMENTARY,MIAMI-DADE
YESHIVA TORAS CHAIM,MIAMI-DADE
DESOTO COUNTY HIGH SCHOOL,DESOTO
DESOTO MIDDLE SCHOOL,DESOTO
NOCATEE ELEMENTARY SCHOOL,DESOTO
DIXIE COUNTY HIGH SCHOOL,DIXIE
KINDER CUB SCHOOL INC,DIXIE
ANNIE R. MORGAN ELEMENTARY SCHOOL,DUVAL
ATLANTIC BEACH ELEMENTARY SCHOOL,DUVAL
ATLANTIC COAST HIGH SCHOOL,DUVAL
BALDWIN MIDDLE-SENIOR HIGH SCHOOL,DUVAL
BISCAYNE ELEMENTARY SCHOOL,DUVAL
BISHOP JOHN J. SNYDER HIGH SCHOOL,DUVAL
BISHOP KENNY HIGH SCHOOL,DUVAL
CHET'S CREEK ELEMENTARY SCHOOL,DUVAL
DARNELL COOKMAN MIDDLE/HIGH SCHOOL,DUVAL
DOUGLAS ANDERSON SCHOOL OF THE ARTS,DUVAL
DUNCAN U. FLETCHER HIGH SCHOOL,DUVAL
DUNCAN U. FLETCHER MIDDLE SCHOOL,DUVAL
DUVAL DISTRICT OFFICE,DUVAL
EDWARD H. WHITE HIGH SCHOOL,DUVAL
EPISCOPAL SCHOOL OF JACKSONVILLE,DUVAL
FIRST COAST HIGH SCHOOL,DUVAL
FORT CAROLINE BAPTIST ACADEMY,DUVAL
FRANK H. PETERSON ACADEMIES,DUVAL
GLOBAL OUTREACH CHARTER ACADEMY,DUVAL
GRASP ACADEMY,DUVAL
GREENLAND PINES ELEMENTARY SCHOOL,DUVAL
HIGHLANDS ELEMENTARY SCHOOL,DUVAL
HOLIDAY HILL ELEMENTARY SCHOOL,DUVAL
HOLY FAMILY CATHOLIC SCHOOL,DUVAL
HOPE HAVEN ASSOCIATION INC.,DUVAL
JEAN RIBAULT MIDDLE SCHOOL,DUVAL
JOSEPH STILWELL MIDDLE SCHOOL,DUVAL
LANDMARK MIDDLE SCHOOL,DUVAL
LAVILLA SCHOOL OF THE ARTS,DUVAL
MANDARIN HIGH SCHOOL,DUVAL
MANDARIN MIDDLE SCHOOL,DUVAL
MATTIE V RUTHERFORD ALT ED CENTER,DUVAL
MERRILL ROAD ELEMENTARY SCHOOL,DUVAL
MT. HERMAN ESE CENTER,DUVAL
NEW BEGINNINGS CHRISTIAN ACADEMY,DUVAL
RIVER CITY SCIENCE ACADEMY AT MANDARIN,DUVAL
ROBERT E. LEE HIGH SCHOOL,DUVAL
S. A. HULL ELEMENTARY SCHOOL,DUVAL
SAMUEL W. WOLFSON HIGH SCHOOL,DUVAL
SAN JOSE ELEMENTARY SCHOOL,DUVAL
SAN PABLO ELEMENTARY SCHOOL,DUVAL
SEABREEZE ELEMENTARY SCHOOL,DUVAL
SOUTHSIDE ESTATES ELEMENTARY SCHOOL,DUVAL
SPRING PARK ELEMENTARY SCHOOL,DUVAL
THOMAS JEFFERSON ELEMENTARY,DUVAL
TRINITY CHRISTIAN ACADEMY,DUVAL
WESTSIDE HIGH SCHOOL,DUVAL
WESTVIEW K-8,DUVAL
WILLIAM M. RAINES HIGH SCHOOL,DUVAL
WINDY HILL ELEMENTARY SCHOOL,DUVAL
YOUNG MENS/WOMENS LEADERSHIP ACADEMY AT EUGENE J BUTLER,DUVAL
ALETHEIA CHRISTIAN ACADEMY,ESCAMBIA
BB C CHRISTIAN ACADEMY,ESCAMBIA
BLUE ANGELS ELEMENTARY SCHOOL,ESCAMBIA
BRATT ELEMENTARY SCHOOL,ESCAMBIA
EAST HILL CHRISTIAN SCHOOL,ESCAMBIA
ESCAMBIA HIGH SCHOOL,ESCAMBIA
FERRY PASS ELEMENTARY SCHOOL,ESCAMBIA
FERRY PASS MIDDLE SCHOOL,ESCAMBIA
GEORGE STONE TECHNICAL COLLEGE,ESCAMBIA
J. H. WORKMAN MIDDLE SCHOOL,ESCAMBIA
JIM ALLEN ELEMENTARY SCHOOL,ESCAMBIA
JIM C. BAILEY MIDDLE SCHOOL,ESCAMBIA
MARCUS POINTE CHRISTIAN SCHOOL,ESCAMBIA
MOLINO PARK ELEMENTARY,ESCAMBIA
MYRTLE GROVE ELEMENTARY SCHOOL,ESCAMBIA
NAVY POINT ELEMENTARY SCHOOL,ESCAMBIA
PENSACOLA CHRISTIAN ACADEMY,ESCAMBIA
PHOENIX LEARNING ACADEMY INC.,ESCAMBIA
PINE FOREST HIGH SCHOOL,ESCAMBIA
RANSOM MIDDLE SCHOOL,ESCAMBIA
REDEEMER LUTHERAN ELEM/MIDDLE SCHOOL,ESCAMBIA
SCENIC HEIGHTS ELEMENTARY SCHOOL,ESCAMBIA
TRINITAS CHRISTIAN SCHOOL,ESCAMBIA
WASHINGTON SENIOR HIGH SCHOOL,ESCAMBIA
WEST FLORIDA HIGH SCHOOL/TECHNICAL,ESCAMBIA
BUDDY TAYLOR MIDDLE SCHOOL,FLAGLER
FLAGLER DISTRICT OFFICE,FLAGLER
FLAGLER-PALM COAST HIGH SCHOOL,FLAGLER
IMAGINE SCHOOL AT TOWN CENTER,FLAGLER
MATANZAS HIGH SCHOOL,FLAGLER
OLD KINGS ELEMENTARY SCHOOL,FLAGLER
RYMFIRE ELEMENTARY SCHOOL,FLAGLER
ST. ELIZABETH ANN SETON CATHOLIC SCHOOL,FLAGLER
FRANKLIN COUNTY SCHOOL,FRANKLIN
CHATTAHOOCHEE ELEMENTARY SCHOOL,GADSDEN
GADSDEN COUNTY HIGH SCHOOL,GADSDEN
GADSDEN TECHNICAL INSTITUTE,GADSDEN
GEORGE W. MUNROE ELEMENTARY SCHOOL,GADSDEN
JAMES A. SHANKS MIDDLE SCHOOL,GADSDEN
STEWART STREET ELEMENTARY SCHOOL,GADSDEN
WEST GADSDEN MIDDLE SCHOOL,GADSDEN
BELL HIGH SCHOOL,GILCHRIST
MOORE HAVEN ELEMENTARY SCHOOL,GLADES
MOORE HAVEN MIDDLE HIGH SCHOOL.,GLADES
WEWAHITCHKA ELEMENTARY SCHOOL,GULF
BOWLING GREEN ELEMENTARY SCHOOL,HARDEE
HARDEE JUNIOR HIGH SCHOOL,HARDEE
HARDEE SENIOR HIGH SCHOOL,HARDEE
HILLTOP ELEMENTARY SCHOOL,HARDEE
WAUCHULA ELEMENTARY SCHOOL,HARDEE
ZOLFO SPRINGS ELEMENTARY SCHOOL,HARDEE
CLEWISTON CHRISTIAN SCHOOL,HENDRY
CLEWISTON MIDDLE SCHOOL,HENDRY
LABELLE ELEMENTARY SCHOOL,HENDRY
LABELLE MIDDLE SCHOOL,HENDRY
D. S. PARROTT MIDDLE SCHOOL,HERNANDO
FRANK W. SPRINGSTEAD HIGH SCHOOL,HERNANDO
HERNANDO COUNTY ADULT EDUCATION,HERNANDO
HERNANDO HIGH SCHOOL,HERNANDO
JOHN D. FLOYD ELEMENTARY SCHOOL,HERNANDO
MOTON ELEMENTARY SCHOOL,HERNANDO
NATURE COAST TECHNICAL HIGH,HERNANDO
PINE GROVE ELEMENTARY SCHOOL,HERNANDO
POWELL MIDDLE SCHOOL,HERNANDO
SPRING HILL CHRISTIAN ACADEMY,HERNANDO
SPRING HILL ELEMENTARY SCHOOL,HERNANDO
AVON ELEMENTARY SCHOOL,HIGHLANDS
AVON PARK HIGH SCHOOL,HIGHLANDS
HILL-GUSTAT MIDDLE SCHOOL,HIGHLANDS
LAKE COUNTRY ELEMENTARY SCHOOL,HIGHLANDS
LAKE PLACID HIGH SCHOOL,HIGHLANDS
LAKE PLACID MIDDLE SCHOOL,HIGHLANDS
SEBRING HIGH SCHOOL,HIGHLANDS
SEBRING MIDDLE SCHOOL,HIGHLANDS
ST. CATHERINE CATHOLIC SCHOOL 2,HIGHLANDS
WALKER MEMORIAL ACADEMY,HIGHLANDS
ADVANTAGE ACADEMY OF HILLSBOROUGH,HILLSBOROUGH
ALONSO HIGH SCHOOL,HILLSBOROUGH
AMI KIDS TAMPA,HILLSBOROUGH
APOLLO BEACH ELEMENTARY SCHOOL,HILLSBOROUGH
BALLAST POINT ELEMENTARY SCHOOL,HILLSBOROUGH
BARRINGTON MIDDLE SCHOOL,HILLSBOROUGH
BERKELEY PREPARATORY SCHOOL,HILLSBOROUGH
BEVIS ELEMENTARY SCHOOL,HILLSBOROUGH
BLAKE HIGH SCHOOL,HILLSBOROUGH
BLOOMINGDALE HIGH SCHOOL,HILLSBOROUGH
BOYETTE SPRINGS ELEMENTARY SCHOOL,HILLSBOROUGH
BRANDON HIGH SCHOOL,HILLSBOROUGH
BRIDGEPREP ACADEMY OF RIVERVIEW,HILLSBOROUGH
BRYAN ELEMENTARY SCHOOL,HILLSBOROUGH
BUCHANAN MIDDLE SCHOOL,HILLSBOROUGH
CAMBRIDGE CHRISTIAN SCHOOL,HILLSBOROUGH
CHILES ELEMENTARY SCHOOL,HILLSBOROUGH
COLLINS ELEMENTARY SCHOOL,HILLSBOROUGH
CORK ELEMENTARY SCHOOL,HILLSBOROUGH
CRESTWOOD ELEMENTARY SCHOOL,HILLSBOROUGH
CRISTO REY TAMPA,HILLSBOROUGH
DOBY ELEMENTARY SCHOOL,HILLSBOROUGH
DOVER ELEMENTARY SCHOOL,HILLSBOROUGH
DR CARTER G WOODSON K-8 SCHOOL,HILLSBOROUGH
DURANT HIGH SCHOOL,HILLSBOROUGH
ESSRIG ELEMENTARY SCHOOL,HILLSBOROUGH
FARNELL MIDDLE SCHOOL,HILLSBOROUGH
FERRELL MIDDLE MAGNET SCHOOL,HILLSBOROUGH
FISHHAWK CREEK ELEMENTARY SCHOOL,HILLSBOROUGH
FLORIDA COLLEGE,HILLSBOROUGH
FOREST HILLS ELEMENTARY SCHOOL,HILLSBOROUGH
FOSTER ELEMENTARY SCHOOL,HILLSBOROUGH
FOUNDATION CHRISTIAN ACADEMY,HILLSBOROUGH
FREEDOM HIGH SCHOOL,HILLSBOROUGH
GAITHER HIGH SCHOOL,HILLSBOROUGH
HAMMOND ELEMENTARY SCHOOL,HILLSBOROUGH
HENDERSON HAMMOCK CHARTER SCHOOL,HILLSBOROUGH
HILL MIDDLE SCHOOL,HILLSBOROUGH
HILLSBOROUGH ACADEMY OF MATH AND SCIENCE,HILLSBOROUGH
HILLSBOROUGH DISTRICT OFFICE,HILLSBOROUGH
HILLSDALE CHRISTIAN ACADEMY,HILLSBOROUGH
JACKSON ELEMENTARY SCHOOL,HILLSBOROUGH
JEFFERSON HIGH SCHOOL,HILLSBOROUGH
JESUIT HIGH SCHOOL,HILLSBOROUGH
JULE F SUMNER HIGH SCHOOL,HILLSBOROUGH
KIDS COMMUNITY COLLEGE CHARTER SCHOOL SOUTHEAST HILLSBOROUGH COUNTY,HILLSBOROUGH
KING HIGH SCHOOL,HILLSBOROUGH
KNIGHTS ELEMENTARY SCHOOL,HILLSBOROUGH
LANIER ELEMENTARY SCHOOL,HILLSBOROUGH
LEARNING GATE COMMUNITY SCHOOL,HILLSBOROUGH
LETO HIGH SCHOOL,HILLSBOROUGH
LIBERTY MIDDLE SCHOOL,HILLSBOROUGH
LINCOLN ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH
